attr8800,attr8801,attr8802,attr8803,attr8804,attr8805,attr8806,attr8807,attr8808,attr8809,attr8810,attr8811,attr8812,attr8813,attr8814,attr8815,attr8816,attr8817,attr8818,attr8819,attr8820,attr8821,attr8822,attr8823,attr8824,attr8825,attr8826,attr8827,attr8828,attr8829,attr8830,attr8831,attr8832,attr8833,attr8834,attr8835,attr8836,attr8837,attr8838,attr8839,attr8840
57.4319,51.4961,57.4319,50.8578,57.0585,51.2767,57.171,51.4076,57.4137,51.5999,57.5161,51.5999,56.9432,51.8467,56.7306,51.1555,57.304,51.1555,57.47,50.9721,57.6338,51.9005,57.3472,51.9958,57.4518,52.1427,57.6277,52.0895,57.6223,52.0895,57.6223,52.0986,57.2933,52.079,57.2933,51.9301,57.2729,51.6067,57.4259,52.0342,0
57.7837,51.3542,57.1377,51.6084,57.1735,50.8397,57.1735,50.8397,57.2706,51.5024,57.7996,51.8706,57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,0
57.1377,51.6084,57.1735,50.8397,57.1735,50.8397,57.2706,51.5024,57.7996,51.8706,57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,57.2987,52.1838,0
57.1735,50.8397,57.1735,50.8397,57.2706,51.5024,57.7996,51.8706,57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,57.2987,52.1838,57.2987,52.4084,0
57.1735,50.8397,57.2706,51.5024,57.7996,51.8706,57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,57.2987,52.1838,57.2987,52.4084,56.5669,52.0517,0
57.2706,51.5024,57.7996,51.8706,57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,57.2987,52.1838,57.2987,52.4084,56.5669,52.0517,57.3627,51.7025,0
57.7996,51.8706,57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,57.2987,52.1838,57.2987,52.4084,56.5669,52.0517,57.3627,51.7025,57.3627,52.0503,0
57.5107,51.9574,57.5107,51.9574,57.4342,51.6247,57.4342,51.6247,57.4342,51.6247,56.5716,52.0601,56.5997,51.3116,57.2784,51.3116,57.2758,51.5824,57.5367,51.9056,57.5367,52.1238,57.304,52.1238,57.3522,52.1747,57.3955,52.2096,57.2987,52.1838,57.2987,52.4084,56.5669,52.0517,57.3627,51.7025,57.3627,52.0503,57.3627,52.0503,0
57.6701,51.2284,58.5791,51.2119,58.3738,52.0028,59.0688,51.8299,58.9651,52.3013,58.8626,52.2648,58.8626,52.3072,58.9882,52.1444,58.814,52.2854,58.2317,52.6848,58.2317,52.6848,58.2317,51.8996,58.9858,51.8996,59.2759,52.1087,59.1807,52.4499,58.7792,52.2581,58.8943,52.4233,59.139,52.483,58.9744,52.5894,58.4858,52.7371,0
58.5791,51.2119,58.3738,52.0028,59.0688,51.8299,58.9651,52.3013,58.8626,52.2648,58.8626,52.3072,58.9882,52.1444,58.814,52.2854,58.2317,52.6848,58.2317,52.6848,58.2317,51.8996,58.9858,51.8996,59.2759,52.1087,59.1807,52.4499,58.7792,52.2581,58.8943,52.4233,59.139,52.483,58.9744,52.5894,58.4858,52.7371,58.4858,52.7371,0
58.3738,52.0028,59.0688,51.8299,58.9651,52.3013,58.8626,52.2648,58.8626,52.3072,58.9882,52.1444,58.814,52.2854,58.2317,52.6848,58.2317,52.6848,58.2317,51.8996,58.9858,51.8996,59.2759,52.1087,59.1807,52.4499,58.7792,52.2581,58.8943,52.4233,59.139,52.483,58.9744,52.5894,58.4858,52.7371,58.4858,52.7371,58.4933,51.7271,0
59.0688,51.8299,58.9651,52.3013,58.8626,52.2648,58.8626,52.3072,58.9882,52.1444,58.814,52.2854,58.2317,52.6848,58.2317,52.6848,58.2317,51.8996,58.9858,51.8996,59.2759,52.1087,59.1807,52.4499,58.7792,52.2581,58.8943,52.4233,59.139,52.483,58.9744,52.5894,58.4858,52.7371,58.4858,52.7371,58.4933,51.7271,58.6244,52.5527,0
58.9651,52.3013,58.8626,52.2648,58.8626,52.3072,58.9882,52.1444,58.814,52.2854,58.2317,52.6848,58.2317,52.6848,58.2317,51.8996,58.9858,51.8996,59.2759,52.1087,59.1807,52.4499,58.7792,52.2581,58.8943,52.4233,59.139,52.483,58.9744,52.5894,58.4858,52.7371,58.4858,52.7371,58.4933,51.7271,58.6244,52.5527,58.9803,52.6307,0
57.9013,51.7602,57.9013,51.7602,58.1582,52.1247,58.3348,51.8389,58.3899,52.4059,58.3422,52.7105,58.3422,52.7105,58.43,52.3544,58.0789,52.0517,58.0789,52.0517,57.8214,52.0517,57.8214,51.2771,58.2888,52.0957,58.1059,51.7302,58.703,52.0364,58.9474,51.5999,58.641,51.7483,58.6336,51.7296,58.1935,51.7109,58.1935,51.7031,0
57.9013,51.7602,58.1582,52.1247,58.3348,51.8389,58.3899,52.4059,58.3422,52.7105,58.3422,52.7105,58.43,52.3544,58.0789,52.0517,58.0789,52.0517,57.8214,52.0517,57.8214,51.2771,58.2888,52.0957,58.1059,51.7302,58.703,52.0364,58.9474,51.5999,58.641,51.7483,58.6336,51.7296,58.1935,51.7109,58.1935,51.7031,57.8957,50.8913,0
58.1582,52.1247,58.3348,51.8389,58.3899,52.4059,58.3422,52.7105,58.3422,52.7105,58.43,52.3544,58.0789,52.0517,58.0789,52.0517,57.8214,52.0517,57.8214,51.2771,58.2888,52.0957,58.1059,51.7302,58.703,52.0364,58.9474,51.5999,58.641,51.7483,58.6336,51.7296,58.1935,51.7109,58.1935,51.7031,57.8957,50.8913,58.7123,51.0047,0
58.3348,51.8389,58.3899,52.4059,58.3422,52.7105,58.3422,52.7105,58.43,52.3544,58.0789,52.0517,58.0789,52.0517,57.8214,52.0517,57.8214,51.2771,58.2888,52.0957,58.1059,51.7302,58.703,52.0364,58.9474,51.5999,58.641,51.7483,58.6336,51.7296,58.1935,51.7109,58.1935,51.7031,57.8957,50.8913,58.7123,51.0047,58.3006,51.7639,0
58.3899,52.4059,58.3422,52.7105,58.3422,52.7105,58.43,52.3544,58.0789,52.0517,58.0789,52.0517,57.8214,52.0517,57.8214,51.2771,58.2888,52.0957,58.1059,51.7302,58.703,52.0364,58.9474,51.5999,58.641,51.7483,58.6336,51.7296,58.1935,51.7109,58.1935,51.7031,57.8957,50.8913,58.7123,51.0047,58.3006,51.7639,58.3006,51.6073,0
58.1935,51.7031,57.8957,50.8913,58.7123,51.0047,58.3006,51.7639,58.3006,51.6073,58.5044,52.1397,58.6299,52.0349,58.3542,52.2195,58.3587,52.2211,58.3587,52.2211,57.6414,52.5332,57.6414,52.5332,57.6414,52.5332,58.3452,52.3502,58.1487,52.2104,58.771,52.6307,58.5819,52.5442,58.5819,52.5009,58.6891,52.5101,58.7458,52.5809,0
57.8957,50.8913,58.7123,51.0047,58.3006,51.7639,58.3006,51.6073,58.5044,52.1397,58.6299,52.0349,58.3542,52.2195,58.3587,52.2211,58.3587,52.2211,57.6414,52.5332,57.6414,52.5332,57.6414,52.5332,58.3452,52.3502,58.1487,52.2104,58.771,52.6307,58.5819,52.5442,58.5819,52.5009,58.6891,52.5101,58.7458,52.5809,58.0622,52.5892,0
58.7123,51.0047,58.3006,51.7639,58.3006,51.6073,58.5044,52.1397,58.6299,52.0349,58.3542,52.2195,58.3587,52.2211,58.3587,52.2211,57.6414,52.5332,57.6414,52.5332,57.6414,52.5332,58.3452,52.3502,58.1487,52.2104,58.771,52.6307,58.5819,52.5442,58.5819,52.5009,58.6891,52.5101,58.7458,52.5809,58.0622,52.5892,58.0922,51.8195,0
58.3006,51.7639,58.3006,51.6073,58.5044,52.1397,58.6299,52.0349,58.3542,52.2195,58.3587,52.2211,58.3587,52.2211,57.6414,52.5332,57.6414,52.5332,57.6414,52.5332,58.3452,52.3502,58.1487,52.2104,58.771,52.6307,58.5819,52.5442,58.5819,52.5009,58.6891,52.5101,58.7458,52.5809,58.0622,52.5892,58.0922,51.8195,58.8728,51.7495,0
58.3006,51.6073,58.5044,52.1397,58.6299,52.0349,58.3542,52.2195,58.3587,52.2211,58.3587,52.2211,57.6414,52.5332,57.6414,52.5332,57.6414,52.5332,58.3452,52.3502,58.1487,52.2104,58.771,52.6307,58.5819,52.5442,58.5819,52.5009,58.6891,52.5101,58.7458,52.5809,58.0622,52.5892,58.0922,51.8195,58.8728,51.7495,58.8728,52.0637,0
58.5044,52.1397,58.6299,52.0349,58.3542,52.2195,58.3587,52.2211,58.3587,52.2211,57.6414,52.5332,57.6414,52.5332,57.6414,52.5332,58.3452,52.3502,58.1487,52.2104,58.771,52.6307,58.5819,52.5442,58.5819,52.5009,58.6891,52.5101,58.7458,52.5809,58.0622,52.5892,58.0922,51.8195,58.8728,51.7495,58.8728,52.0637,58.7069,52.1329,0
57.891,53.338,58.614,53.3461,58.2801,53.8836,58.4544,53.6683,58.4544,53.7124,58.5387,53.7124,58.5387,53.6963,58.3984,53.7018,58.4755,53.5882,57.5979,53.5882,57.5979,53.0169,57.6307,53.025,58.099,53.3797,58.4402,53.1619,58.4402,53.5789,58.5661,53.9183,58.5722,53.7166,58.2889,53.7821,58.2889,53.7821,58.2918,53.9275,0
58.614,53.3461,58.2801,53.8836,58.4544,53.6683,58.4544,53.7124,58.5387,53.7124,58.5387,53.6963,58.3984,53.7018,58.4755,53.5882,57.5979,53.5882,57.5979,53.0169,57.6307,53.025,58.099,53.3797,58.4402,53.1619,58.4402,53.5789,58.5661,53.9183,58.5722,53.7166,58.2889,53.7821,58.2889,53.7821,58.2918,53.9275,58.2918,53.9275,0
58.2801,53.8836,58.4544,53.6683,58.4544,53.7124,58.5387,53.7124,58.5387,53.6963,58.3984,53.7018,58.4755,53.5882,57.5979,53.5882,57.5979,53.0169,57.6307,53.025,58.099,53.3797,58.4402,53.1619,58.4402,53.5789,58.5661,53.9183,58.5722,53.7166,58.2889,53.7821,58.2889,53.7821,58.2918,53.9275,58.2918,53.9275,57.5272,53.1819,0
58.4544,53.6683,58.4544,53.7124,58.5387,53.7124,58.5387,53.6963,58.3984,53.7018,58.4755,53.5882,57.5979,53.5882,57.5979,53.0169,57.6307,53.025,58.099,53.3797,58.4402,53.1619,58.4402,53.5789,58.5661,53.9183,58.5722,53.7166,58.2889,53.7821,58.2889,53.7821,58.2918,53.9275,58.2918,53.9275,57.5272,53.1819,58.2844,53.6049,0
58.4544,53.7124,58.5387,53.7124,58.5387,53.6963,58.3984,53.7018,58.4755,53.5882,57.5979,53.5882,57.5979,53.0169,57.6307,53.025,58.099,53.3797,58.4402,53.1619,58.4402,53.5789,58.5661,53.9183,58.5722,53.7166,58.2889,53.7821,58.2889,53.7821,58.2918,53.9275,58.2918,53.9275,57.5272,53.1819,58.2844,53.6049,58.5894,54.0583,0
