attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24
7410,2,9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,0
9147,3,7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,1
7161,4,9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,1
9342,5,9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,1
9220,6,9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,1
9025,7,9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,1
9561,8,9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,1
9047,9,8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,0
8987,10,8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,9567,9,0
8180,11,7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,9567,9,9324,10,0
7171,12,8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,9567,9,9324,10,6953,11,0
8219,1,7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,9567,9,9324,10,6953,11,7690,12,0
7692,2,8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,9567,9,9324,10,6953,11,7690,12,4961,1,0
8617,3,9622,4,10068,5,9861,6,10360,7,10099,8,9567,9,9324,10,6953,11,7690,12,4961,1,7911,2,0
516,7,2618,8,2051,9,2050,10,2108,11,2449,12,1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,1
2618,8,2051,9,2050,10,2108,11,2449,12,1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,1
2051,9,2050,10,2108,11,2449,12,1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,0
2050,10,2108,11,2449,12,1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,0
2108,11,2449,12,1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,0
2449,12,1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,0
1992,1,1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,2321,12,0
1826,2,2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,2321,12,2308,1,0
2113,3,2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,2321,12,2308,1,1726,2,1
2975,4,2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,2321,12,2308,1,1726,2,2602,3,1
2434,5,2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,2321,12,2308,1,1726,2,2602,3,3001,4,1
2766,6,3617,7,4230,8,2782,9,2483,10,2305,11,2321,12,2308,1,1726,2,2602,3,3001,4,3114,5,1
571,1,543,2,1331,3,1151,4,915,5,796,6,849,7,1235,8,1005,9,1134,10,1119,11,1009,12,0
543,2,1331,3,1151,4,915,5,796,6,849,7,1235,8,1005,9,1134,10,1119,11,1009,12,984,1,0
1331,3,1151,4,915,5,796,6,849,7,1235,8,1005,9,1134,10,1119,11,1009,12,984,1,707,2,1
1151,4,915,5,796,6,849,7,1235,8,1005,9,1134,10,1119,11,1009,12,984,1,707,2,1207,3,1
915,5,796,6,849,7,1235,8,1005,9,1134,10,1119,11,1009,12,984,1,707,2,1207,3,1194,4,1
796,6,849,7,1235,8,1005,9,1134,10,1119,11,1009,12,984,1,707,2,1207,3,1194,4,1157,5,0
849,7,1235,8,1005,9,1134,10,1119,11,1009,12,984,1,707,2,1207,3,1194,4,1157,5,1005,6,1
1235,8,1005,9,1134,10,1119,11,1009,12,984,1,707,2,1207,3,1194,4,1157,5,1005,6,1074,7,1
1005,9,1134,10,1119,11,1009,12,984,1,707,2,1207,3,1194,4,1157,5,1005,6,1074,7,1607,8,0
1134,10,1119,11,1009,12,984,1,707,2,1207,3,1194,4,1157,5,1005,6,1074,7,1607,8,1126,9,1
1119,11,1009,12,984,1,707,2,1207,3,1194,4,1157,5,1005,6,1074,7,1607,8,1126,9,1329,10,0
1009,12,984,1,707,2,1207,3,1194,4,1157,5,1005,6,1074,7,1607,8,1126,9,1329,10,164,11,0
984,1,707,2,1207,3,1194,4,1157,5,1005,6,1074,7,1607,8,1126,9,1329,10,164,11,371,12,0
221,3,2639,4,2374,5,2167,6,2097,7,2530,8,1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,1
2639,4,2374,5,2167,6,2097,7,2530,8,1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,1
2374,5,2167,6,2097,7,2530,8,1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,1
2167,6,2097,7,2530,8,1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,1
2097,7,2530,8,1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,1
2530,8,1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,1
1920,9,2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,1
2280,10,2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,1
2114,11,2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,0
2153,12,1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,0
1817,1,1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,1635,12,0
1654,2,2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,1635,12,1894,1,0
2384,3,2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,1635,12,1894,1,1610,2,1
2428,4,2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,1635,12,1894,1,1610,2,2280,3,1
2497,5,2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,1635,12,1894,1,1610,2,2280,3,2593,4,1
2183,6,2553,7,2750,8,2616,9,2532,10,1867,11,1635,12,1894,1,1610,2,2280,3,2593,4,2279,5,1
5247,1,5618,2,7558,3,6492,4,6470,5,5548,6,5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,1
5618,2,7558,3,6492,4,6470,5,5548,6,5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,1
7558,3,6492,4,6470,5,5548,6,5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,1
6492,4,6470,5,5548,6,5191,7,4044,8,4357,9,3983,10,4723,11,4902,12,4808,1,4797,2,4820,3,1
