@relation trainingData

@attribute attr13200 numeric
@attribute attr13201 numeric
@attribute attr13202 numeric
@attribute attr13203 numeric
@attribute attr13204 numeric
@attribute attr13205 numeric
@attribute attr13206 numeric
@attribute attr13207 numeric
@attribute attr13208 numeric
@attribute attr13209 numeric
@attribute attr13210 numeric
@attribute attr13211 numeric
@attribute attr13212 numeric
@attribute attr13213 numeric
@attribute attr13214 numeric
@attribute attr13215 numeric
@attribute attr13216 numeric
@attribute attr13217 numeric
@attribute attr13218 numeric
@attribute attr13219 numeric
@attribute attr13220 numeric
@attribute attr13221 numeric
@attribute attr13222 numeric
@attribute attr13223 numeric
@attribute attr13224 numeric
@attribute attr13225 numeric
@attribute attr13226 numeric
@attribute attr13227 numeric
@attribute attr13228 numeric
@attribute attr13229 numeric
@attribute attr13230 numeric
@attribute attr13231 numeric
@attribute attr13232 numeric
@attribute attr13233 numeric
@attribute attr13234 numeric
@attribute attr13235 numeric
@attribute attr13236 numeric
@attribute attr13237 numeric
@attribute attr13238 numeric
@attribute attr13239 numeric
@attribute attr13240 numeric
@attribute attr13241 numeric
@attribute attr13242 numeric
@attribute attr13243 numeric
@attribute attr13244 numeric
@attribute attr13245 numeric
@attribute attr13246 numeric
@attribute attr13247 numeric
@attribute attr13248 numeric
@attribute attr13249 numeric
@attribute attr13250 numeric
@attribute attr13251 numeric
@attribute attr13252 numeric
@attribute attr13253 numeric
@attribute attr13254 numeric
@attribute attr13255 numeric
@attribute attr13256 numeric
@attribute attr13257 numeric
@attribute attr13258 numeric
@attribute attr13259 numeric
@attribute attr13260 numeric

@data
166,57,51,136,57,52,144,58,52,537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,322,57,52,295,57,52,576,57,52,0
136,57,52,144,58,52,537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,322,57,52,295,57,52,576,57,52,372,57,52,0
144,58,52,537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,322,57,52,295,57,52,576,57,52,372,57,52,144,57,52,0
537,58,52,792,58,52,314,57,52,148,57,52,225,57,52,328,57,52,568,57,51,236,57,51,160,57,52,109,58,52,306,58,52,999,57,52,852,57,52,357,57,52,322,57,52,295,57,52,576,57,52,372,57,52,144,57,52,131,57,52,0
467,58,51,182,59,51,167,58,52,156,59,52,375,59,52,900,59,52,460,59,52,158,59,52,232,59,52,249,58,53,430,58,53,190,58,52,136,59,52,145,59,52,101,59,52,873,59,52,822,59,52,211,59,52,471,59,53,252,58,53,0
182,59,51,167,58,52,156,59,52,375,59,52,900,59,52,460,59,52,158,59,52,232,59,52,249,58,53,430,58,53,190,58,52,136,59,52,145,59,52,101,59,52,873,59,52,822,59,52,211,59,52,471,59,53,252,58,53,492,58,53,0
167,58,52,156,59,52,375,59,52,900,59,52,460,59,52,158,59,52,232,59,52,249,58,53,430,58,53,190,58,52,136,59,52,145,59,52,101,59,52,873,59,52,822,59,52,211,59,52,471,59,53,252,58,53,492,58,53,122,58,52,0
156,59,52,375,59,52,900,59,52,460,59,52,158,59,52,232,59,52,249,58,53,430,58,53,190,58,52,136,59,52,145,59,52,101,59,52,873,59,52,822,59,52,211,59,52,471,59,53,252,58,53,492,58,53,122,58,52,126,59,53,0
375,59,52,900,59,52,460,59,52,158,59,52,232,59,52,249,58,53,430,58,53,190,58,52,136,59,52,145,59,52,101,59,52,873,59,52,822,59,52,211,59,52,471,59,53,252,58,53,492,58,53,122,58,52,126,59,53,131,59,53,0
507,58,52,147,58,52,208,58,52,147,58,52,192,58,52,916,58,53,557,58,53,189,58,52,231,58,52,508,58,52,395,58,52,213,58,51,170,58,52,139,58,52,121,59,52,896,59,52,814,59,52,397,59,52,220,58,52,280,58,52,0
147,58,52,208,58,52,147,58,52,192,58,52,916,58,53,557,58,53,189,58,52,231,58,52,508,58,52,395,58,52,213,58,51,170,58,52,139,58,52,121,59,52,896,59,52,814,59,52,397,59,52,220,58,52,280,58,52,630,58,51,0
208,58,52,147,58,52,192,58,52,916,58,53,557,58,53,189,58,52,231,58,52,508,58,52,395,58,52,213,58,51,170,58,52,139,58,52,121,59,52,896,59,52,814,59,52,397,59,52,220,58,52,280,58,52,630,58,51,159,59,51,0
147,58,52,192,58,52,916,58,53,557,58,53,189,58,52,231,58,52,508,58,52,395,58,52,213,58,51,170,58,52,139,58,52,121,59,52,896,59,52,814,59,52,397,59,52,220,58,52,280,58,52,630,58,51,159,59,51,158,58,52,0
192,58,52,916,58,53,557,58,53,189,58,52,231,58,52,508,58,52,395,58,52,213,58,51,170,58,52,139,58,52,121,59,52,896,59,52,814,59,52,397,59,52,220,58,52,280,58,52,630,58,51,159,59,51,158,58,52,125,58,52,0
280,58,52,630,58,51,159,59,51,158,58,52,125,58,52,129,59,52,1004,59,52,472,58,52,269,58,52,161,58,52,164,58,53,768,58,53,244,58,53,130,58,52,128,58,52,153,59,53,779,59,53,772,59,53,441,59,53,371,59,53,0
630,58,51,159,59,51,158,58,52,125,58,52,129,59,52,1004,59,52,472,58,52,269,58,52,161,58,52,164,58,53,768,58,53,244,58,53,130,58,52,128,58,52,153,59,53,779,59,53,772,59,53,441,59,53,371,59,53,151,58,53,0
159,59,51,158,58,52,125,58,52,129,59,52,1004,59,52,472,58,52,269,58,52,161,58,52,164,58,53,768,58,53,244,58,53,130,58,52,128,58,52,153,59,53,779,59,53,772,59,53,441,59,53,371,59,53,151,58,53,595,58,52,0
