@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
21261,186,27302,3,1,13831,135,18302,4,2,19683,176,24138,5,2,20552,172,23164,6,2,20949,170,23475,7,3,20712,170,23472,8,3,19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,1
13831,135,18302,4,2,19683,176,24138,5,2,20552,172,23164,6,2,20949,170,23475,7,3,20712,170,23472,8,3,19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,1
19683,176,24138,5,2,20552,172,23164,6,2,20949,170,23475,7,3,20712,170,23472,8,3,19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,1
20552,172,23164,6,2,20949,170,23475,7,3,20712,170,23472,8,3,19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,1
20949,170,23475,7,3,20712,170,23472,8,3,19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,1
20712,170,23472,8,3,19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,1
19574,167,22727,9,3,20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,1
20221,178,24216,10,4,19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,1
19164,170,23438,11,4,18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,0
18416,161,24294,12,4,18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,0
18005,178,24362,1,1,17256,159,21585,2,1,20920,180,25386,3,1,21077,180,26244,4,2,21726,186,26748,5,2,20559,175,24310,6,2,24665,182,27903,7,3,24159,178,29981,8,3,22340,176,26306,9,3,23047,186,25806,10,4,19322,159,22229,11,4,20520,161,25061,12,4,0
