@relation data50in

@attribute T1 numeric
@attribute T2 numeric
@attribute T3 numeric
@attribute T4 numeric
@attribute T5 numeric
@attribute T6 numeric
@attribute T7 numeric
@attribute T8 numeric
@attribute T9 numeric
@attribute T10 numeric
@attribute T11 numeric
@attribute T12 numeric
@attribute T13 numeric
@attribute T14 numeric
@attribute T15 numeric
@attribute T16 numeric
@attribute T17 numeric
@attribute T18 numeric
@attribute T19 numeric
@attribute T20 numeric
@attribute T21 numeric
@attribute T22 numeric
@attribute T23 numeric
@attribute T24 numeric
@attribute T25 numeric
@attribute T26 numeric
@attribute T27 numeric
@attribute T28 numeric
@attribute T29 numeric
@attribute T30 numeric
@attribute T31 numeric
@attribute T32 numeric
@attribute T33 numeric
@attribute T34 numeric
@attribute T35 numeric
@attribute T36 numeric
@attribute T37 numeric
@attribute T38 numeric
@attribute T39 numeric
@attribute T40 numeric
@attribute T41 numeric
@attribute T42 numeric
@attribute T43 numeric
@attribute T44 numeric
@attribute T45 numeric
@attribute T46 numeric
@attribute T47 numeric
@attribute T48 numeric
@attribute T49 numeric
@attribute T50 numeric
@attribute RegisterRT numeric

@data
12.4414,12.4477,12.454,12.5021,12.5105,12.6402,12.6737,12.6612,4.0234,4.1389,4.1569,4.3391,4.4559,4.572,4.60615,4.6403,4.7548,4.7897,4.889,5.0884,5.1718,5.2719,5.2922,5.4415,5.525,5.5407,5.6251,5.7262,5.7152,5.8332,5.8745,5.9158,6.015,6.0682,6.1235,6.3702,0,6.5083,6.6399,6.757,6.8706,6.9853,7.0533,7.1058,7.2062,7.3207,7.439,7.439,7.538,7.6525,2
12.6606,12.7148,12.8962,12.9565,12.9796,13.121,13,13.3811,13.4788,13.5077,13.6485,13.6318,13.6553,13.6886,13.7294,13.7483,13.76265,13.777,13.8912,13.9721,13.9314,13.9268,13.9864,13.955,13.9454,13.9717,13.95,14,13.988,13.8949,13.8949,13.9616,13.9748,13.988,13.9713,13.9973,0,14.0234,13.9376,13.9543,14.0427,14.014,13.9733,13.9636,13.9636,14.0448,14.0591,14.2213,14.2905,14.2905,2
14.5051,14.4765,14.536,14.6789,14.5479,14.4954,14.4954,14.2738,14.2929,14.1617,14.1283,14.176,14.2809,14.3334,14.3644,14.39175,14.4191,14.5167,14.4667,14.4811,14.5833,14.6094,14.6142,14.6927,14.6451,14.5691,14.5191,14.5976,14.5927,14.5927,14,14.5524,14.5452,14.7211,14.6142,14.5406,0,14.4548,14.4548,14.4643,14.3262,14.2809,14.1952,14.2476,14.3262,14.2929,14.2929,14.2905,14.3453,14.4239,2
14.4592,14.5754,14.5137,14.4212,14.452,14.4069,14.3237,14.3142,14.3047,4.5287,4.6601,4.7301,4.7635,4.8487,4.9824,5.1805,5.2473,5.3336,5.3336,5.4515,5.4497,5.5648,5.614,5.6966,5.7895,5.8824,6.0287,6.2302,6.3116,6.3116,6.368,6.6678,6.8482,6.9029,6.9888,7.0569,0,7.1452,7.2493,7.4142,7.5159,7.5532,7.8622,7.8622,7.9331,8.0489,8.1827,8.4323,8.4351,8.6986,2
12.9524,13.1098,13.112,13.2126,13.3277,13.3635,13.2629,13.1464,13.2528,13.27795,13.3031,13.3266,13.4028,13.4531,13.4845,13.4476,13.6134,13.6929,13.7219,13.7005,13.7005,13.6906,13.7937,13.9332,13.9332,13.9909,14.0054,14.0654,14.1157,14.1086,14.2593,14.41,14.4387,14.5795,14.6081,14.6081,0,14.5628,14.5582,14.4627,14.477,14.4508,14.4294,14.4294,14.4796,14.4342,14.6852,14.6399,14.6399,14.728,2
14.5628,14.6105,14.7083,14.6321,14.7177,14.6415,14.5175,14.5774,14.637,14.6478,14.6586,14.5701,14.5534,14.5008,14.3981,14.41,14.4268,14.4076,14.4506,14.4816,14.4028,14.4195,14.4244,14.4268,14.6227,14.4913,14.5044,14.5175,14.5962,14.484,14.4673,14.2857,14.3287,14.3144,14.257,14.2283,0,14.3718,14.3885,14.2953,14.3646,14.3192,14.5153,14.4675,14.4759,14.4843,14.5129,14.5847,14.6493,14.6709,2
15.0209,15.0609,15.0367,15.0367,15.0083,14.9866,14.9583,14.9324,14.9064,14.8563,4.5356,4.6344,4.7356,4.9548,5.1037,5.2711,5.2059,5.3054,5.3583,5.4588,5.5602,5.5602,5.6626,5.7937,5.9444,6.0007,6.0855,6.2689,6.5381,6.9156,7.0161,7.1154,7.3269,7.4117,7.5289,7.58035,0,7.6318,7.7992,7.9317,8.0656,8.1353,8.1868,8.2706,8.4184,8.6455,8.7749,8.9375,8.9709,9.0909,2
13.5605,13.5961,13.7062,13.7487,13.8392,14.0565,14.0803,14.1735,14.2714,14.3549,14.4361,14.5649,14.5649,14.6676,14.7864,14.8247,14.8748,14.8773,14.8655,14.8822,14.9089,14.9733,15.00335,15.0334,15.0167,15.005,15.1505,15.1723,15.2545,15.252,15.2236,15.292,15.2662,15.364,15.292,15.3203,0,15.3344,15.3344,15.2432,15.2574,15.2908,15.3499,15.4334,15.4527,15.3409,15.4553,15.6093,15.5953,15.576,2
15.269,15.0694,15.0694,15.1363,15.08865,15.041,14.9933,14.8694,14.9364,14.9171,14.9121,14.9071,14.8737,14.8594,14.764,14.7925,14.9833,14.9883,15.0552,15.1221,15.1033,15.0845,15.0845,14.9983,14.9531,15.1155,15.0611,15.0276,14.8055,14.808,14.6669,14.6837,14.7098,14.6738,14.6787,14.5424,0,14.5088,14.5723,14.6358,14.6047,14.7029,14.7005,14.6694,14.8105,14.8179,14.8633,14.8658,14.9329,14.9732,2
14.9481,14.8911,14.8542,14.8173,14.7167,14.7261,14.8929,14.8712,14.8879,15.0887,15.09325,5.5119,5.5973,5.5973,5.6985,5.8951,5.9649,6.2479,6.3147,6.367,6.4182,6.4737,6.4737,6.5261,6.66,6.7771,7.0293,7.1967,7.3473,7.4502,7.5983,7.6498,7.749,7.7837,7.8533,7.9705,0,8.0543,8.1366,8.304,8.387,8.47,8.6068,8.6906,8.8457,8.995,9.0467,9.1655,9.1305,9.2326,2
