BonoCPUUsage,BonoLatencyVariance,RegisterRT
23.3882,73.224,1
23.4504,73.224,1
23.4889,73.224,1
23.5551,87.156,1
23.5166,87.156,1
23.567,87.156,1
23.6055,87.156,2
23.6687,87.156,1
23.7151,143.756,1
23.7408,143.756,1
23.8119,143.756,1
23.8207,143.756,2
23.86905,143.756,1
23.9174,143.756,1
23.9054,87.88,1
23.9302,87.88,1
23.9772,87.88,1
24.0141,87.88,1
24.0846,139.826,2
24.0007,139.826,1
23.9839,139.826,2
24.0054,139.826,2
23.9328,139.826,1
23.9839,65.309,1
24.0511,65.309,1
23.9711,65.309,1
23.924,65.309,1
23.9079,65.309,1
23.9328,87.447,1
23.9328,109.585,1
23.8655,109.585,1
23.755,109.585,1
23.7983,109.585,2
23.7134,97.256,1
23.6966,97.256,1
23.7687,97.256,1
23.7863,97.256,1
23.7823,97.256,1
23.8751,87.767,1
23.9886,87.767,1
24.0719,87.767,1
23.9032,87.767,1
23.7759,87.767,1
23.7262,71.964,1
23.7479,71.964,1
23.9087,71.964,1
23.9087,71.964,1
23.9167,71.964,1
23.8951,65.941,1
23.9408,65.941,1
23.959,65.941,1
23.7695,65.941,1
23.7479,65.941,1
23.8831,66.617,2
23.9422,66.617,1
23.9503,66.617,1
23.9422,66.617,1
23.8798,66.617,1
23.9094,66.932,1
23.994,66.932,1
23.9933,66.932,1
24.0104,66.932,1
24.0275,66.932,1
24.1033,78.488,1
24.0523,78.488,1
24.0315,78.488,1
23.8495,78.488,1
23.7439,78.488,1
23.7391,57.834,1
23.7719,57.834,1
23.7542,57.834,1
23.67,57.834,1
23.6305,57.834,1
23.779,79.294,1
23.7157,79.294,1
23.7558,79.294,1
23.7959,79.294,1
23.9024,79.294,1
23.8776,92.451,1
23.8688,92.451,1
23.9456,92.451,1
24.1229,92.451,1
24.308,92.451,1
24.2699,87.159,1
24.2821,87.159,1
24.2526,87.159,1
24.2948,87.159,1
24.4456,87.159,1
24.2771,67.322,1
24.34475,67.322,1
24.4124,67.322,2
24.4925,67.322,1
24.4332,67.322,1
24.5134,63.601,1
24.5891,63.601,1
24.5552,63.601,1
24.5761,63.601,1
24.4881,63.601,1
24.4758,59.702,1
24.4672,59.702,1
24.3493,59.702,1
24.4586,59.702,2
24.547,59.702,1
24.5429,84.366,2
24.5175,84.366,1
24.5346,84.366,1
24.51355,84.366,1
24.4925,84.366,2
24.5602,121.52,1
24.4262,121.52,1
24.4213,121.52,2
24.4761,121.52,1
24.5308,121.52,1
24.4597,52.239,2
24.5059,52.239,1
24.5646,52.239,1
24.485,52.239,1
24.5394,52.239,1
24.6187,133.408,1
24.5643,133.408,1
24.5643,133.408,1
24.6523,133.408,1
24.6251,133.408,2
24.5979,133.408,1
24.6107,78.543,1
24.6357,78.543,1
24.5643,78.543,1
24.6903,78.543,1
24.8118,64.557,1
24.8411,64.557,1
24.8162,64.557,1
24.8581,64.557,1
24.8458,64.557,2
24.7705,81.687,1
24.8831,81.687,1
24.7493,81.687,1
24.6781,81.687,1
24.6069,81.687,1
24.5106,69.37,1
24.4772,69.37,1
24.4686,69.37,1
24.4307,69.37,2
24.1402,69.37,1
24.1697,66.352,1
24.1784,66.352,1
24.2206,66.352,1
24.2495,66.352,1
24.0268,66.352,1
24.2495,67.692,1
24.1814,67.692,1
24.1935,67.692,1
24.1709,67.692,1
24.1483,67.692,1
24.19,80.118,1
24.1229,80.118,2
24.1478,80.118,2
24.0175,80.118,1
23.9664,80.118,2
24.1165,79.139,1
24.041,79.139,1
24.0283,79.139,1
23.9738,79.139,1
23.9738,79.139,2
23.9738,111.795,1
23.9697,111.795,1
23.7237,111.795,1
25.5763,72.277,1
25.7527,72.277,2
26.038,72.277,1
26.2053,72.277,1
26.3697,92.921,1
26.5714,92.921,1
26.5467,92.921,1
26.6768,92.921,1
26.6387,92.921,2
26.744,123.654,1
26.9567,123.654,1
27.0484,123.654,2
27.0858,123.654,2
27.1232,123.654,1
27.2026,106.806,2
27.2438,106.806,2
27.352,106.806,2
27.4405,106.806,1
27.625,106.806,2
27.6389,67.215,1
27.7973,67.215,2
27.8207,67.215,1
27.8777,67.215,1
28.1297,89.472,1
28.13705,111.729,2
28.1444,133.986,1
28.2305,133.986,1
28.3361,133.986,1
28.4513,133.986,1
28.4439,85.503,1
28.4558,85.503,2
28.4678,85.503,1
28.4678,85.503,1
28.5835,85.503,1
28.7135,95.721,1
28.8293,95.721,1
28.8387,95.721,1
28.8893,95.721,1
28.9084,95.721,1
28.9181,71.387,1
28.8556,71.387,1
28.8556,71.387,2
29.0165,71.387,1
28.9926,71.387,1
29.0165,160.006,1
29.0649,160.006,1
29.2712,160.006,1
28.9877,160.006,2
28.9926,160.006,2
28.9975,285.661,2
28.9061,285.661,1
29.0214,285.661,1
29.1056,285.661,2
29.01915,285.661,1
28.9327,285.661,2
28.8968,92.853,1
28.8221,92.853,2
28.926,92.853,2
29.1646,92.853,2
29.2629,120.657,2
29.265,120.657,1
29.2004,120.657,2
29.1596,120.657,2
29.1526,120.657,1
29.0682,145.142,1
29.1477,145.142,1
29.1646,145.142,1
29.1674,145.142,1
29.2716,145.142,1
29.2716,145.142,2
29.4356,99.548,1
29.4098,99.548,1
29.5112,99.548,1
29.5013,99.548,1
29.552,108.443,2
29.5143,108.443,2
29.5212,108.443,2
29.4993,108.443,1
29.362,108.443,2
29.4078,85.568,1
29.3203,85.568,1
29.1991,85.568,1
29.2089,85.568,1
29.1512,85.568,1
29.2047,125.077,2
29.142,125.077,1
29.142,125.077,1
29.1998,125.077,1
29.149,125.077,1
29.2576,103.64,2
29.1392,103.64,2
29.2061,103.64,2
29.3165,103.64,1
29.2103,103.64,1
29.2152,77.472,2
29.2103,77.472,2
29.1554,77.472,1
29.218,77.472,1
29.4038,77.472,2
29.5121,118.268,1
29.6709,118.268,1
29.6828,118.268,1
29.8583,118.268,2
29.8583,118.268,2
29.7653,153.328,2
29.7097,153.328,2
29.4963,153.328,2
29.7097,153.328,1
29.6946,153.328,2
29.664,102.419,1
29.6978,102.419,1
29.7147,102.419,1
29.547,102.419,1
29.6584,102.419,1
29.5839,112.777,2
29.7041,112.777,2
29.5889,112.777,2
29.4078,112.777,2
29.45855,112.777,1
29.5093,112.777,2
29.4655,110.747,1
29.4605,110.747,1
29.4267,110.747,2
29.4386,110.747,1
29.4675,91.425,2
29.5927,91.425,2
29.5589,91.425,2
29.5808,91.425,2
29.7516,91.425,2
29.7316,145.556,1
29.6391,145.556,1
29.5466,145.556,1
29.3572,145.556,2
29.382,145.556,2
29.3869,85.178,2
29.3354,85.178,2
29.2518,85.178,1
29.2251,85.178,1
29.2152,85.178,1
29.2613,90.795,1
29.3074,96.412,1
