@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
32156,380,47733,6,2,32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,1
32121,380,47420,7,3,32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,1
32712,386,47943,8,3,32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,1
32168,367,45338,9,3,30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,1
30344,363,45365,10,4,26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,1
26991,365,44677,11,4,24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,0
24825,347,41507,12,4,24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,0
24353,380,47473,1,1,21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,0
21094,346,41612,2,1,28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,0
28145,371,44054,3,1,31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,0
31878,372,47777,4,2,35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,1
35132,384,50740,5,2,34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,1
34111,366,48305,6,2,34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,1
34013,388,49048,7,3,34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,1
34690,377,45421,8,3,35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,1
35693,373,46914,9,3,34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,1
34460,386,50310,10,4,26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,1
26882,333,41699,11,4,23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,0
23887,341,40824,12,4,20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,0
20998,341,39652,1,1,17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,0
17977,319,37414,2,1,22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,0
22388,359,42780,3,1,29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,0
29554,371,46424,4,2,32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,0
32671,383,49619,5,2,33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,1
33057,380,48559,6,2,32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,1
32864,386,46274,7,3,36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,1
36086,377,46014,8,3,33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,1
33948,377,46124,9,3,36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,1
36157,395,49024,10,4,28995,353,45060,11,4,27431,336,41476,12,4,23903,343,42244,1,1,21485,314,37960,2,1,28239,376,46957,3,1,25206,287,35756,4,2,34739,351,43952,5,2,34299,357,44595,6,2,33140,360,42677,7,3,34195,362,42959,8,3,34859,374,45685,9,3,1
